country,RISK_ADJ_SCORE,GDP_Growth,Labor_Participation,Infrastructure,Proj_2035,Proj_2040,Proj_2045,Proj_2050,Recommendation,Last_Updated
USA,0.3683,0.0053,0.63,0.9,100.13,100.27,100.4,100.54,Watch,2026-06-26
JPN,0.3829,0.07,0.62,0.85,131.4,172.66,226.87,298.1,Watch,2026-06-26
CHN,0.3532,0.0344,0.67,0.7,109.24,119.34,130.37,142.42,Watch,2026-06-26
IND,0.2794,0.021,0.52,0.6,102.52,105.1,107.75,110.47,Avoid,2026-06-26
CHE,0.3998,0.0236,0.67,0.95,107.1,114.71,122.86,131.59,Target,2026-06-26
KOR,0.3654,0.0384,0.64,0.8,117.22,137.4,161.06,188.8,Watch,2026-06-26
NLD,0.4061,0.0697,0.67,0.9,133.24,177.54,236.55,315.19,Target,2026-06-26
SAU,0.3393,0.07,0.61,0.65,133.24,177.54,236.55,315.19,Avoid,2026-06-26
ARE,0.4081,0.0591,0.72,0.85,124.08,153.96,191.04,237.05,Target,2026-06-26
SGP,0.3924,-0.02,0.68,0.99,85.87,73.74,63.32,54.38,Target,2026-06-26
DEU,0.3686,0.07,0.61,0.8,131.65,173.31,228.17,300.38,Watch,2026-06-26
PHL,0.293,0.011,0.64,0.5,102.74,105.56,108.45,111.42,Avoid,2026-06-26
MYS,0.343,-0.0003,0.65,0.75,97.72,95.49,93.32,91.19,Avoid,2026-06-26
QAT,0.4216,0.07,0.85,0.7,129.98,168.94,219.58,285.4,Target,2026-06-26
BHR,0.3474,-0.0037,0.7,0.7,92.64,85.83,79.51,73.66,Avoid,2026-06-26
CAN,0.3674,-0.02,0.66,0.9,89.33,79.81,71.3,63.69,Watch,2026-06-26
FRA,0.3218,-0.0109,0.56,0.8,91.27,83.31,76.04,69.41,Avoid,2026-06-26
GBR,0.3926,0.0663,0.63,0.9,130.66,170.73,223.07,291.47,Target,2026-06-26
