Date,Enterprise,Ticker,Home Market,Primary Hub Saturated (OSM),Home GDP Growth %,Home Inflation %,Trailing P/E,EV/EBITDA,Net Margin %,90D Market Momentum %
2026-06-17,NVIDIA,NVDA,United States,284,2.79,2.95,32.4,28.1,55.00000000000001,14.138266217620096
2026-06-17,Apple,AAPL,United States,284,2.79,2.95,28.1,18.2,26.0,17.812881156605652
2026-06-17,Microsoft,MSFT,United States,284,2.79,2.95,31.5,20.4,35.0,-1.183498919299172
2026-06-17,Alphabet,GOOGL,United States,284,2.79,2.95,24.2,14.8,27.0,20.118658691267903
2026-06-17,Amazon,AMZN,United States,284,2.79,2.95,38.0,13.1,10.0,14.312269279058368
2026-06-17,TSMC,TSM,Taiwan,115,2.3,1.9,22.1,11.5,38.0,23.36759769720134
2026-06-17,Broadcom,AVGO,United States,284,2.79,2.95,26.4,17.2,22.0,17.487854830171305
2026-06-17,Saudi Aramco,2222.SR,Saudi Arabia,110,1.99,1.68,16.5,9.8,42.0,1.1797442774209375
2026-06-17,Tesla,TSLA,United States,284,2.79,2.95,45.2,24.1,12.0,1.349967389673491
2026-06-17,Meta Platforms,META,United States,284,2.79,2.95,23.9,13.5,32.0,-3.516154241251779
2026-06-17,Samsung,005930.KS,South Korea,142,2.0,2.32,14.1,7.2,8.0,79.07024461547742
2026-06-17,Micron Technology,MU,United States,284,2.79,2.95,20.2,11.4,14.000000000000002,121.18495824545266
2026-06-17,SK Hynix,000660.KS,South Korea,142,2.0,2.32,15.4,8.1,11.0,159.94037018431882
2026-06-17,Berkshire Hathaway,BRK-B,United States,284,2.79,2.95,19.8,12.0,15.0,0.48114533667070175
2026-06-17,Eli Lilly,LLY,United States,284,2.79,2.95,55.4,34.2,21.0,20.861213958910827
2026-06-17,Walmart,WMT,United States,284,2.79,2.95,25.1,12.8,3.0,-2.854306665535806
2026-06-17,AMD,AMD,United States,284,2.79,2.95,34.1,22.0,11.0,158.41272215059152
2026-06-17,JPMorgan Chase,JPM,United States,284,2.79,2.95,12.2,10.1,33.0,16.014740168498783
2026-06-17,ASML,ASML,Netherlands,85,1.08,2.1,36.5,24.2,28.000000000000004,30.13835867400627
2026-06-17,Tencent,TCEHY,China,312,4.97,0.22,18.2,11.1,28.999999999999996,-16.347184714478388
